POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,School_Count
3099,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Hurstbridge,4
3101,Eastern municipalities and their suburbs,City of Boroondara,Mid,Kew,12
3102,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Kew East, Kew North",3
3103,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Balwyn, Deepdene",5
3104,Eastern municipalities and their suburbs,City of Boroondara,Mid,Balwyn North,7
3105,Eastern municipalities and their suburbs,City of Manningham,Mid,Bulleen,3
3106,Eastern municipalities and their suburbs,City of Manningham,Mid,Templestowe,3
3107,Eastern municipalities and their suburbs,City of Manningham,Mid,"Templestowe Lower, Macedon",4
3108,Eastern municipalities and their suburbs,City of Manningham,Mid,Doncaster,4
3109,Eastern municipalities and their suburbs,City of Manningham,Mid,Doncaster East,6
3111,Eastern municipalities and their suburbs,City of Manningham,Mid,Donvale,5
3113,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Warrandyte,3
3116,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Chirnside Park,2
3121,Inner City municipalities and their suburbs,City of Yarra,Inner,"Burnley, Cremorne, Richmond",9
3122,Eastern municipalities and their suburbs,City of Boroondara,Mid,Hawthorn,8
3123,Eastern municipalities and their suburbs,City of Boroondara,Mid,Hawthorn East,5
3124,Eastern municipalities and their suburbs,City of Boroondara,Mid,Camberwell,4
3125,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Burwood, Burwood",4
3127,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Mont Albert, Mont Albert North, Surrey Hills, Mont Albert, Surrey Hills",5
3128,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Box Hill, Box Hill South",5
3129,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Box Hill North, Mont Albert North",5
3130,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Blackburn, Blackburn North, Blackburn South",11
3131,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Nunawading, Forest Hill, Nunawading",4
3132,Eastern municipalities and their suburbs,City of Whitehorse,Mid,Mitcham,5
3133,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Vermont, Vermont South",9
3134,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Ringwood North, Ringwood, Ringwood North, Warranwood",12
3135,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Heathmont, Eastwood, Ringwood East",7
3136,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Croydon, Croydon Hills, Croydon North, Croydon South",13
3137,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,"Kilsyth South, Kilsyth",4
3138,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Mooroolbark,10
3140,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Lilydale,8
3141,Southeastern municipalities and their suburbs,City of Stonnington,Mid,"South Yarra, South Yarra",6
3142,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Toorak,4
3143,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Armadale,3
3144,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Malvern,3
3145,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Malvern East,6
3146,Southeastern municipalities and their suburbs,City of Stonnington,Mid,"Glen Iris, Glen Iris",6
3147,Southeastern municipalities and their suburbs,City of Monash,Mid,"Ashburton, Ashwood",7
3149,Southeastern municipalities and their suburbs,City of Monash,Mid,Mount Waverley,10
3150,Southeastern municipalities and their suburbs,City of Monash,Mid,"Glen Waverley, Syndal, Wheelers Hill",21
3151,Eastern municipalities and their suburbs,City of Whitehorse,Mid,Burwood East,5
3152,Eastern municipalities and their suburbs,City of Knox,Mid,"Wantirna, Wantirna South, Studfield",12
3153,Eastern municipalities and their suburbs,City of Knox,Mid,"Bayswater, Bayswater North",6
3154,Eastern municipalities and their suburbs,City of Knox,Mid,The Basin,3
3155,Eastern municipalities and their suburbs,City of Knox,Mid,Boronia,5
3156,Eastern municipalities and their suburbs,City of Knox,Mid,"Ferntree Gully, Lysterfield, Upper Ferntree Gully, Upper Ferntree Gully, Lysterfield, Lysterfield South",12
3158,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Upwey,3
3160,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,"Belgrave, Belgrave Heights, Belgrave South, Tecoma",5
3161,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,Caulfield North,3
3162,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Caulfield, Caulfield South",4
3163,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Carnegie, Glen Huntly, Murrumbeena",5
3165,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,Bentleigh East,6
3166,Southeastern municipalities and their suburbs,City of Monash,Mid,"Hughesdale, Huntingdale, Oakleigh, Oakleigh East",7
3168,Southeastern municipalities and their suburbs,City of Monash,Mid,"Clayton, Clayton North, Notting Hill",3
3169,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Clarinda, Clayton South, Westall",7
3170,Southeastern municipalities and their suburbs,City of Monash,Mid,Mulgrave,5
3171,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Springvale,7
3172,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Springvale South, Dingley Village",7
3173,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Keysborough,7
3174,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,"Noble Park, Noble Park North",10
3175,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,"Dandenong, Dandenong North",15
3177,Southeastern municipalities and their suburbs,City of Casey,Outer,"Doveton, Eumemmerring",2
