POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,Estimated_Resident_Population
3095,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,"Eltham, Eltham North, Eltham, Eltham North, Research",23711
3096,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Wattle Glen,14539
3099,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Hurstbridge,3573
3101,Eastern municipalities and their suburbs,City of Boroondara,Mid,Kew,11725
3102,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Kew East, Kew North",6557
3103,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Balwyn, Deepdene",16332
3104,Eastern municipalities and their suburbs,City of Boroondara,Mid,Balwyn North,21411
3105,Eastern municipalities and their suburbs,City of Manningham,Mid,Bulleen,11371
3106,Eastern municipalities and their suburbs,City of Manningham,Mid,Templestowe,17105
3107,Eastern municipalities and their suburbs,City of Manningham,Mid,"Templestowe Lower, Macedon",14278
3108,Eastern municipalities and their suburbs,City of Manningham,Mid,Doncaster,25172
3109,Eastern municipalities and their suburbs,City of Manningham,Mid,Doncaster East,15792
3111,Eastern municipalities and their suburbs,City of Manningham,Mid,Donvale,16406
3113,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Warrandyte,10183
3116,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Chirnside Park,11873
3121,Inner City municipalities and their suburbs,City of Yarra,Inner,"Burnley, Cremorne, Richmond",17972
3122,Eastern municipalities and their suburbs,City of Boroondara,Mid,Hawthorn,10037
3123,Eastern municipalities and their suburbs,City of Boroondara,Mid,Hawthorn East,15898
3124,Eastern municipalities and their suburbs,City of Boroondara,Mid,Camberwell,21512
3125,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Burwood, Burwood",12543
3127,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Mont Albert, Mont Albert North, Surrey Hills, Mont Albert, Surrey Hills",16090
3128,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Box Hill, Box Hill South",23232
3129,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Box Hill North, Mont Albert North",18304
3130,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Blackburn, Blackburn North, Blackburn South",22360
3131,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Nunawading, Forest Hill, Nunawading",10866
3132,Eastern municipalities and their suburbs,City of Whitehorse,Mid,Mitcham,16935
3133,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Vermont, Vermont South",11083
3134,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Ringwood North, Ringwood, Ringwood North, Warranwood",18919
3135,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Heathmont, Eastwood, Ringwood East",21351
3136,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Croydon, Croydon Hills, Croydon North, Croydon South",18235
3137,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,"Kilsyth South, Kilsyth",9980
3138,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Mooroolbark,23447
3140,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Lilydale,19783
3141,Southeastern municipalities and their suburbs,City of Stonnington,Mid,"South Yarra, South Yarra",6542
3142,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Toorak,13098
3143,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Armadale,9436
3144,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Malvern,20482
3145,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Malvern East,22221
3146,Southeastern municipalities and their suburbs,City of Stonnington,Mid,"Glen Iris, Glen Iris",17010
3147,Southeastern municipalities and their suburbs,City of Monash,Mid,"Ashburton, Ashwood",8025
