POST_CODE,POST_CODE,Offence Division,Sum
898,3338,D Public order and security offences,16
899,3338,E Justice procedures offences,24
900,3338,F Other offences,3
901,3427,A Crimes against the person,16
902,3427,B Property and deception offences,20
903,3427,C Drug offences,3
904,3427,D Public order and security offences,6
905,3427,E Justice procedures offences,6
906,3429,A Crimes against the person,18
907,3429,B Property and deception offences,26
908,3429,C Drug offences,5
909,3429,D Public order and security offences,9
910,3429,E Justice procedures offences,8
911,3429,F Other offences,1
912,3750,A Crimes against the person,15
913,3750,B Property and deception offences,14
914,3750,C Drug offences,4
915,3750,D Public order and security offences,4
916,3750,E Justice procedures offences,6
917,3750,F Other offences,2
918,3752,A Crimes against the person,15
919,3752,B Property and deception offences,17
920,3752,C Drug offences,4
921,3752,D Public order and security offences,9
922,3752,E Justice procedures offences,5
923,3752,F Other offences,1
924,3754,A Crimes against the person,28
925,3754,B Property and deception offences,38
926,3754,C Drug offences,7
927,3754,D Public order and security offences,12
928,3754,E Justice procedures offences,12
929,3754,F Other offences,1
930,3756,A Crimes against the person,17
931,3756,B Property and deception offences,24
932,3756,C Drug offences,3
933,3756,D Public order and security offences,8
934,3756,E Justice procedures offences,8
935,3756,F Other offences,5
936,3757,A Crimes against the person,21
937,3757,B Property and deception offences,30
938,3757,C Drug offences,5
939,3757,D Public order and security offences,6
940,3757,E Justice procedures offences,10
941,3763,A Crimes against the person,7
942,3763,B Property and deception offences,14
943,3763,C Drug offences,3
944,3763,D Public order and security offences,1
945,3763,E Justice procedures offences,3
946,3763,F Other offences,1
947,3765,A Crimes against the person,7
948,3765,B Property and deception offences,13
949,3765,C Drug offences,2
950,3765,D Public order and security offences,4
951,3765,E Justice procedures offences,5
952,3765,F Other offences,1
953,3767,A Crimes against the person,4
954,3767,B Property and deception offences,9
955,3767,C Drug offences,1
956,3767,D Public order and security offences,1
957,3767,E Justice procedures offences,1
958,3777,A Crimes against the person,21
959,3777,B Property and deception offences,28
960,3777,C Drug offences,5
961,3777,D Public order and security offences,9
962,3777,E Justice procedures offences,10
963,3777,F Other offences,1
964,3793,A Crimes against the person,8
965,3793,B Property and deception offences,13
966,3793,C Drug offences,3
967,3793,D Public order and security offences,2
968,3793,E Justice procedures offences,2
969,3793,F Other offences,2
970,3796,A Crimes against the person,13
971,3796,B Property and deception offences,14
972,3796,C Drug offences,3
973,3796,D Public order and security offences,4
974,3796,E Justice procedures offences,5
975,3802,A Crimes against the person,17
976,3802,B Property and deception offences,15
977,3802,C Drug offences,3
978,3802,D Public order and security offences,8
979,3802,E Justice procedures offences,7
980,3803,A Crimes against the person,15
981,3803,B Property and deception offences,14
982,3803,C Drug offences,4
983,3803,D Public order and security offences,7
984,3803,E Justice procedures offences,6
985,3804,A Crimes against the person,15
986,3804,B Property and deception offences,16
987,3804,C Drug offences,3
988,3804,D Public order and security offences,4
989,3804,E Justice procedures offences,7
990,3804,F Other offences,1
991,3805,A Crimes against the person,33
992,3805,B Property and deception offences,33
993,3805,C Drug offences,8
994,3805,D Public order and security offences,19
995,3805,E Justice procedures offences,15
996,3805,F Other offences,1
997,3806,A Crimes against the person,18
998,3806,B Property and deception offences,20
999,3806,C Drug offences,4
1000,3806,D Public order and security offences,11
1001,3806,E Justice procedures offences,5
1002,3806,F Other offences,1
1003,3807,A Crimes against the person,16
1004,3807,B Property and deception offences,18
1005,3807,C Drug offences,5
1006,3807,D Public order and security offences,5
1007,3807,E Justice procedures offences,4
1008,3810,A Crimes against the person,24
1009,3810,B Property and deception offences,31
1010,3810,C Drug offences,6
1011,3810,D Public order and security offences,9
1012,3810,E Justice procedures offences,11
1013,3810,F Other offences,5
1014,3815,A Crimes against the person,10
1015,3815,B Property and deception offences,14
1016,3815,C Drug offences,3
1017,3815,D Public order and security offences,4
1018,3815,E Justice procedures offences,5
1019,3910,A Crimes against the person,15
1020,3910,B Property and deception offences,15
1021,3910,C Drug offences,4
1022,3910,D Public order and security offences,6
1023,3910,E Justice procedures offences,6
1024,3912,A Crimes against the person,23
1025,3912,B Property and deception offences,22
1026,3912,C Drug offences,6
1027,3912,D Public order and security offences,6
1028,3912,E Justice procedures offences,7
1029,3912,F Other offences,1
1030,3915,A Crimes against the person,15
1031,3915,B Property and deception offences,21
1032,3915,C Drug offences,5
1033,3915,D Public order and security offences,7
1034,3915,E Justice procedures offences,9
1035,3915,F Other offences,2
1036,3930,A Crimes against the person,11
1037,3930,B Property and deception offences,14
1038,3930,C Drug offences,3
1039,3930,D Public order and security offences,5
1040,3930,E Justice procedures offences,4
1041,3930,F Other offences,1
1042,3931,A Crimes against the person,16
1043,3931,B Property and deception offences,18
1044,3931,C Drug offences,4
1045,3931,D Public order and security offences,9
1046,3931,E Justice procedures offences,6
1047,3931,F Other offences,3
1048,3934,A Crimes against the person,11
1049,3934,B Property and deception offences,12
1050,3934,C Drug offences,1
1051,3934,D Public order and security offences,6
1052,3934,E Justice procedures offences,3
1053,3934,F Other offences,1
1054,3936,A Crimes against the person,24
1055,3936,B Property and deception offences,34
1056,3936,C Drug offences,7
1057,3936,D Public order and security offences,8
1058,3936,E Justice procedures offences,9
1059,3936,F Other offences,2
1060,3939,A Crimes against the person,22
1061,3939,B Property and deception offences,30
1062,3939,C Drug offences,5
1063,3939,D Public order and security offences,10
1064,3939,E Justice procedures offences,9
1065,3939,F Other offences,1
1066,3975,A Crimes against the person,24
1067,3975,B Property and deception offences,28
1068,3975,C Drug offences,4
1069,3975,D Public order and security offences,6
1070,3975,E Justice procedures offences,11
1071,3976,A Crimes against the person,17
1072,3976,B Property and deception offences,16
1073,3976,C Drug offences,5
1074,3976,D Public order and security offences,7
1075,3976,E Justice procedures offences,5
1076,3976,F Other offences,3
1077,3977,A Crimes against the person,89
1078,3977,B Property and deception offences,109
1079,3977,C Drug offences,18
1080,3977,D Public order and security offences,27
1081,3977,E Justice procedures offences,39
1082,3977,F Other offences,1
1083,3978,A Crimes against the person,33
1084,3978,B Property and deception offences,34
1085,3978,C Drug offences,7
1086,3978,D Public order and security offences,11
1087,3978,E Justice procedures offences,9
1088,3981,A Crimes against the person,19
1089,3981,B Property and deception offences,19
1090,3981,C Drug offences,3
1091,3981,D Public order and security offences,6
1092,3981,E Justice procedures offences,6
