POST_CODE,POST_CODE,Offence Division,Sum
206,3053,D Public order and security offences,8
207,3053,E Justice procedures offences,6
208,3053,F Other offences,1
209,3054,A Crimes against the person,21
210,3054,B Property and deception offences,33
211,3054,C Drug offences,3
212,3054,D Public order and security offences,9
213,3054,E Justice procedures offences,5
214,3055,A Crimes against the person,15
215,3055,B Property and deception offences,18
216,3055,C Drug offences,3
217,3055,D Public order and security offences,5
218,3055,E Justice procedures offences,6
219,3056,A Crimes against the person,18
220,3056,B Property and deception offences,22
221,3056,C Drug offences,4
222,3056,D Public order and security offences,9
223,3056,E Justice procedures offences,8
224,3056,F Other offences,4
225,3057,A Crimes against the person,14
226,3057,B Property and deception offences,16
227,3057,C Drug offences,2
228,3057,D Public order and security offences,7
229,3057,E Justice procedures offences,4
230,3058,A Crimes against the person,27
231,3058,B Property and deception offences,31
232,3058,C Drug offences,8
233,3058,D Public order and security offences,10
234,3058,E Justice procedures offences,13
235,3058,F Other offences,2
236,3059,A Crimes against the person,14
237,3059,B Property and deception offences,14
238,3059,C Drug offences,4
239,3059,D Public order and security offences,7
240,3059,E Justice procedures offences,5
241,3060,A Crimes against the person,21
242,3060,B Property and deception offences,26
243,3060,C Drug offences,4
244,3060,D Public order and security offences,5
245,3060,E Justice procedures offences,9
246,3061,A Crimes against the person,14
247,3061,B Property and deception offences,17
248,3061,C Drug offences,4
249,3061,D Public order and security offences,7
250,3061,E Justice procedures offences,7
251,3061,F Other offences,2
252,3064,A Crimes against the person,60
253,3064,B Property and deception offences,65
254,3064,C Drug offences,16
255,3064,D Public order and security offences,24
256,3064,E Justice procedures offences,26
257,3064,F Other offences,6
258,3065,A Crimes against the person,16
259,3065,B Property and deception offences,19
260,3065,C Drug offences,4
261,3065,D Public order and security offences,9
262,3065,E Justice procedures offences,6
263,3065,F Other offences,1
264,3066,A Crimes against the person,16
265,3066,B Property and deception offences,22
266,3066,C Drug offences,4
267,3066,D Public order and security offences,8
268,3066,E Justice procedures offences,8
269,3066,F Other offences,1
270,3067,A Crimes against the person,16
271,3067,B Property and deception offences,17
272,3067,C Drug offences,3
273,3067,D Public order and security offences,8
274,3067,E Justice procedures offences,7
275,3067,F Other offences,1
276,3068,A Crimes against the person,26
277,3068,B Property and deception offences,38
278,3068,C Drug offences,5
279,3068,D Public order and security offences,13
280,3068,E Justice procedures offences,11
281,3068,F Other offences,3
282,3070,A Crimes against the person,14
283,3070,B Property and deception offences,18
284,3070,C Drug offences,3
285,3070,D Public order and security offences,9
286,3070,E Justice procedures offences,6
287,3070,F Other offences,2
288,3071,A Crimes against the person,14
289,3071,B Property and deception offences,18
290,3071,C Drug offences,3
291,3071,D Public order and security offences,9
292,3071,E Justice procedures offences,7
293,3072,A Crimes against the person,18
294,3072,B Property and deception offences,20
295,3072,C Drug offences,4
296,3072,D Public order and security offences,9
297,3072,E Justice procedures offences,7
298,3072,F Other offences,4
299,3073,A Crimes against the person,17
300,3073,B Property and deception offences,21
301,3073,C Drug offences,5
302,3073,D Public order and security offences,11
303,3073,E Justice procedures offences,8
304,3073,F Other offences,3
305,3074,A Crimes against the person,17
306,3074,B Property and deception offences,17
307,3074,C Drug offences,5
308,3074,D Public order and security offences,8
309,3074,E Justice procedures offences,6
310,3074,F Other offences,2
311,3075,A Crimes against the person,14
312,3075,B Property and deception offences,16
313,3075,C Drug offences,4
314,3075,D Public order and security offences,7
315,3075,E Justice procedures offences,7
316,3075,F Other offences,2
317,3076,A Crimes against the person,17
318,3076,B Property and deception offences,18
319,3076,C Drug offences,5
320,3076,D Public order and security offences,9
321,3076,E Justice procedures offences,7
322,3078,A Crimes against the person,26
323,3078,B Property and deception offences,45
324,3078,C Drug offences,3
325,3078,D Public order and security offences,8
326,3078,E Justice procedures offences,11
327,3079,A Crimes against the person,22
328,3079,B Property and deception offences,27
329,3079,C Drug offences,4
330,3079,D Public order and security offences,7
331,3079,E Justice procedures offences,10
332,3079,F Other offences,1
333,3081,A Crimes against the person,39
334,3081,B Property and deception offences,39
335,3081,C Drug offences,8
336,3081,D Public order and security offences,15
337,3081,E Justice procedures offences,17
338,3081,F Other offences,2
339,3082,A Crimes against the person,17
340,3082,B Property and deception offences,18
341,3082,C Drug offences,6
342,3082,D Public order and security offences,11
343,3082,E Justice procedures offences,9
344,3082,F Other offences,3
345,3083,A Crimes against the person,43
346,3083,B Property and deception offences,49
347,3083,C Drug offences,14
348,3083,D Public order and security offences,19
349,3083,E Justice procedures offences,17
350,3083,F Other offences,3
351,3084,A Crimes against the person,35
352,3084,B Property and deception offences,45
353,3084,C Drug offences,9
354,3084,D Public order and security offences,14
355,3084,E Justice procedures offences,18
356,3084,F Other offences,2
357,3087,A Crimes against the person,12
358,3087,B Property and deception offences,20
359,3087,C Drug offences,4
360,3087,D Public order and security offences,4
361,3087,E Justice procedures offences,8
362,3087,F Other offences,1
363,3088,A Crimes against the person,29
364,3088,B Property and deception offences,39
365,3088,C Drug offences,5
366,3088,D Public order and security offences,13
367,3088,E Justice procedures offences,12
368,3088,F Other offences,3
369,3094,A Crimes against the person,10
370,3094,B Property and deception offences,12
371,3094,C Drug offences,4
372,3094,D Public order and security offences,3
373,3094,E Justice procedures offences,2
374,3095,A Crimes against the person,32
375,3095,B Property and deception offences,37
376,3095,C Drug offences,6
377,3095,D Public order and security offences,10
378,3095,E Justice procedures offences,10
379,3095,F Other offences,2
380,3096,A Crimes against the person,2
381,3096,B Property and deception offences,6
382,3096,C Drug offences,1
383,3096,E Justice procedures offences,1
384,3099,A Crimes against the person,12
385,3099,B Property and deception offences,17
386,3099,C Drug offences,3
387,3099,D Public order and security offences,4
388,3099,E Justice procedures offences,4
389,3101,A Crimes against the person,15
390,3101,B Property and deception offences,18
391,3101,C Drug offences,4
392,3101,D Public order and security offences,9
393,3101,E Justice procedures offences,6
394,3101,F Other offences,1
395,3102,A Crimes against the person,10
396,3102,B Property and deception offences,13
397,3102,C Drug offences,4
398,3102,D Public order and security offences,2
399,3102,E Justice procedures offences,5
400,3103,A Crimes against the person,17
401,3103,B Property and deception offences,24
402,3103,C Drug offences,4
403,3103,D Public order and security offences,8
404,3103,E Justice procedures offences,4
405,3103,F Other offences,2
406,3104,A Crimes against the person,15
407,3104,B Property and deception offences,14
408,3104,C Drug offences,4
409,3104,D Public order and security offences,5
410,3104,E Justice procedures offences,5
411,3105,A Crimes against the person,9
412,3105,B Property and deception offences,12
413,3105,C Drug offences,4
414,3105,D Public order and security offences,2
415,3105,E Justice procedures offences,4
416,3106,A Crimes against the person,13
417,3106,B Property and deception offences,13
418,3106,C Drug offences,2
419,3106,D Public order and security offences,6
420,3106,E Justice procedures offences,4
421,3107,A Crimes against the person,14
422,3107,B Property and deception offences,16
423,3107,C Drug offences,3
424,3107,D Public order and security offences,5
425,3107,E Justice procedures offences,5
426,3108,A Crimes against the person,16
427,3108,B Property and deception offences,16
428,3108,C Drug offences,4
429,3108,D Public order and security offences,10
430,3108,E Justice procedures offences,7
431,3108,F Other offences,2
432,3109,A Crimes against the person,14
433,3109,B Property and deception offences,18
434,3109,C Drug offences,4
435,3109,D Public order and security offences,7
436,3109,E Justice procedures offences,6
437,3109,F Other offences,1
438,3111,A Crimes against the person,11
439,3111,B Property and deception offences,16
440,3111,C Drug offences,2
441,3111,D Public order and security offences,2
442,3111,E Justice procedures offences,3
443,3113,A Crimes against the person,13
444,3113,B Property and deception offences,14
445,3113,C Drug offences,1
446,3113,D Public order and security offences,2
447,3113,E Justice procedures offences,3
448,3116,A Crimes against the person,14
449,3116,B Property and deception offences,17
450,3116,C Drug offences,2
451,3116,D Public order and security offences,8
452,3116,E Justice procedures offences,4
453,3116,F Other offences,1
454,3121,A Crimes against the person,32
455,3121,B Property and deception offences,42
456,3121,C Drug offences,6
457,3121,D Public order and security offences,20
458,3121,E Justice procedures offences,14
459,3121,F Other offences,4
460,3122,A Crimes against the person,16
461,3122,B Property and deception offences,17
462,3122,C Drug offences,3
463,3122,D Public order and security offences,10
464,3122,E Justice procedures offences,6
465,3122,F Other offences,1
466,3123,A Crimes against the person,12
467,3123,B Property and deception offences,17
468,3123,C Drug offences,4
469,3123,D Public order and security offences,7
470,3123,E Justice procedures offences,5
471,3123,F Other offences,1
472,3124,A Crimes against the person,14
473,3124,B Property and deception offences,17
474,3124,C Drug offences,4
475,3124,D Public order and security offences,6
476,3124,E Justice procedures offences,5
477,3124,F Other offences,2
478,3125,A Crimes against the person,18
479,3125,B Property and deception offences,26
480,3125,C Drug offences,5
481,3125,D Public order and security offences,6
482,3125,E Justice procedures offences,6
483,3127,A Crimes against the person,24
484,3127,B Property and deception offences,35
485,3127,C Drug offences,5
486,3127,D Public order and security offences,8
487,3127,E Justice procedures offences,10
488,3128,A Crimes against the person,26
489,3128,B Property and deception offences,33
490,3128,C Drug offences,6
491,3128,D Public order and security offences,10
492,3128,E Justice procedures offences,10
493,3128,F Other offences,4
494,3129,A Crimes against the person,15
495,3129,B Property and deception offences,25
496,3129,C Drug offences,5
497,3129,D Public order and security offences,3
498,3129,E Justice procedures offences,4
499,3130,A Crimes against the person,31
500,3130,B Property and deception offences,39
501,3130,C Drug offences,5
502,3130,D Public order and security offences,11
503,3130,E Justice procedures offences,12
504,3130,F Other offences,2
505,3131,A Crimes against the person,23
506,3131,B Property and deception offences,31
507,3131,C Drug offences,5
508,3131,D Public order and security offences,10
509,3131,E Justice procedures offences,10
510,3131,F Other offences,2
511,3132,A Crimes against the person,12
512,3132,B Property and deception offences,14
513,3132,C Drug offences,2
514,3132,D Public order and security offences,5
515,3132,E Justice procedures offences,5
516,3132,F Other offences,1
517,3133,A Crimes against the person,19
518,3133,B Property and deception offences,28
519,3133,C Drug offences,6
520,3133,D Public order and security offences,6
521,3133,E Justice procedures offences,6
522,3134,A Crimes against the person,30
523,3134,B Property and deception offences,43
524,3134,C Drug offences,6
525,3134,D Public order and security offences,16
526,3134,E Justice procedures offences,15
527,3134,F Other offences,1
528,3135,A Crimes against the person,21
529,3135,B Property and deception offences,28
530,3135,C Drug offences,7
531,3135,D Public order and security offences,8
532,3135,E Justice procedures offences,10
533,3136,A Crimes against the person,34
534,3136,B Property and deception offences,43
535,3136,C Drug offences,8
536,3136,D Public order and security offences,15
537,3136,E Justice procedures offences,14
538,3136,F Other offences,5
539,3137,A Crimes against the person,25
540,3137,B Property and deception offences,29
541,3137,C Drug offences,5
542,3137,D Public order and security offences,5
543,3137,E Justice procedures offences,12
544,3138,A Crimes against the person,17
545,3138,B Property and deception offences,17
546,3138,C Drug offences,3
547,3138,D Public order and security offences,6
548,3138,E Justice procedures offences,5
549,3138,F Other offences,1
550,3140,A Crimes against the person,15
551,3140,B Property and deception offences,16
552,3140,C Drug offences,4
553,3140,D Public order and security offences,7
554,3140,E Justice procedures offences,6
555,3140,F Other offences,2
556,3141,A Crimes against the person,24
557,3141,B Property and deception offences,32
558,3141,C Drug offences,6
559,3141,D Public order and security offences,11
560,3141,E Justice procedures offences,9
561,3142,A Crimes against the person,14
562,3142,B Property and deception offences,16
563,3142,C Drug offences,3
564,3142,D Public order and security offences,7
565,3142,E Justice procedures offences,4
566,3143,A Crimes against the person,13
567,3143,B Property and deception offences,17
568,3143,C Drug offences,2
569,3143,D Public order and security offences,5
570,3143,E Justice procedures offences,6
571,3144,A Crimes against the person,15
572,3144,B Property and deception offences,24
573,3144,C Drug offences,2
574,3144,D Public order and security offences,9
575,3144,E Justice procedures offences,6
576,3144,F Other offences,1
577,3145,A Crimes against the person,25
578,3145,B Property and deception offences,31
579,3145,C Drug offences,7
580,3145,D Public order and security offences,13
581,3145,E Justice procedures offences,10
582,3145,F Other offences,3
583,3146,A Crimes against the person,18
584,3146,B Property and deception offences,31
585,3146,C Drug offences,3
586,3146,D Public order and security offences,9
587,3146,E Justice procedures offences,9
588,3147,A Crimes against the person,24
589,3147,B Property and deception offences,27
590,3147,C Drug offences,5
591,3147,D Public order and security offences,12
592,3147,E Justice procedures offences,8
593,3147,F Other offences,1
594,3149,A Crimes against the person,15
595,3149,B Property and deception offences,16
596,3149,C Drug offences,4
597,3149,D Public order and security offences,8
