POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,A Crimes against the person,B Property and deception offences,C Drug offences,D Public order and security offences,E Justice procedures offences,F Other offences,Total Crime 2023
3072,Northern municipalities and their suburbs,City of Darebin,Mid,Preston,493,2134,128,122,408,5,3290
3073,Northern municipalities and their suburbs,City of Darebin,Mid,Reservoir,546,1859,207,168,504,6,3290
3074,Northern municipalities and their suburbs,City of Whittlesea,Outer,Thomastown,258,825,96,61,187,3,1430
3075,Northern municipalities and their suburbs,City of Whittlesea,Outer,Lalor,194,354,54,42,131,2,777
3076,Northern municipalities and their suburbs,City of Whittlesea,Outer,Epping,422,1171,82,75,262,0,2012
3078,Inner City municipalities and their suburbs,City of Yarra,Inner,"Alphington, Fairfield, Alphington, Fairfield",83,395,4,14,41,0,537
3079,Northern municipalities and their suburbs,City of Banyule,Mid,"Ivanhoe, Ivanhoe East",85,485,17,23,65,2,677
3081,Northern municipalities and their suburbs,City of Banyule,Mid,"Heidelberg Heights, Heidelberg West",240,583,73,65,239,2,1202
3082,Northern municipalities and their suburbs,City of Whittlesea,Outer,Mill Park,251,664,56,45,197,3,1216
3083,Northern municipalities and their suburbs,City of Banyule,Mid,"Bundoora, Bundoora, Kingsbury, Bundoora",244,1047,83,69,209,3,1655
3084,Northern municipalities and their suburbs,City of Banyule,Mid,"Eaglemont, Heidelberg, Rosanna, Viewbank",181,540,56,66,796,2,1641
3087,Northern municipalities and their suburbs,City of Banyule,Mid,"Watsonia, Watsonia North",26,154,9,10,54,1,254
3088,Northern municipalities and their suburbs,City of Banyule,Mid,"Briar Hill, Greensborough, St Helena, Greensborough",149,540,27,36,133,7,892
3094,Northern municipalities and their suburbs,City of Banyule,Mid,Montmorency,38,73,7,10,15,0,143
3095,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,"Eltham, Eltham North, Eltham, Eltham North, Research",127,368,17,23,92,2,629
3096,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Wattle Glen,2,12,1,0,1,0,16
3099,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Hurstbridge,25,62,4,5,5,0,101
3101,Eastern municipalities and their suburbs,City of Boroondara,Mid,Kew,143,668,13,34,85,1,944
3102,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Kew East, Kew North",33,159,4,4,20,0,220
3103,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Balwyn, Deepdene",67,321,6,14,27,2,437
3104,Eastern municipalities and their suburbs,City of Boroondara,Mid,Balwyn North,67,400,10,11,30,0,518
3105,Eastern municipalities and their suburbs,City of Manningham,Mid,Bulleen,43,180,11,2,42,0,278
3106,Eastern municipalities and their suburbs,City of Manningham,Mid,Templestowe,63,206,6,14,24,0,313
3107,Eastern municipalities and their suburbs,City of Manningham,Mid,"Templestowe Lower, Macedon",60,218,6,6,34,0,324
3108,Eastern municipalities and their suburbs,City of Manningham,Mid,Doncaster,160,775,30,37,105,2,1109
3109,Eastern municipalities and their suburbs,City of Manningham,Mid,Doncaster East,151,394,21,17,51,1,635
3111,Eastern municipalities and their suburbs,City of Manningham,Mid,Donvale,45,144,7,4,15,0,215
3113,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Warrandyte,29,44,1,2,8,0,84
3116,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Chirnside Park,87,235,8,21,51,1,403
3121,Inner City municipalities and their suburbs,City of Yarra,Inner,"Burnley, Cremorne, Richmond",482,2085,187,172,286,6,3218
3122,Eastern municipalities and their suburbs,City of Boroondara,Mid,Hawthorn,128,783,14,14,58,2,999
3123,Eastern municipalities and their suburbs,City of Boroondara,Mid,Hawthorn East,79,416,7,14,36,1,553
3124,Eastern municipalities and their suburbs,City of Boroondara,Mid,Camberwell,92,634,11,21,74,2,834
3125,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Burwood, Burwood",70,456,29,13,45,0,613
3127,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Mont Albert, Mont Albert North, Surrey Hills, Mont Albert, Surrey Hills",67,347,13,10,41,0,478
3128,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Box Hill, Box Hill South",247,1049,45,54,159,4,1558
3129,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Box Hill North, Mont Albert North",61,283,17,8,21,0,390
3130,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Blackburn, Blackburn North, Blackburn South",154,677,12,26,90,3,962
