POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,Median House Price 2022,A Crimes against the person 2023,B Property and deception offences 2023,C Drug offences 2023,D Public order and security offences 2023,E Justice procedures offences 2023,F Other offences 2023,Total Crime 2023,Estimated_Resident_Population_2021,School_Count_2022,Hospital_Count_2023,Police_Count_2023,Supermarket_Count_2023
3335,Western municipalities and their suburbs,City of Melton,Outer,"Rockbank, Strathtulloh, Taylors Hill, Thornhill Park",690000.0,81,549,17,14,42,1,704,17836,1,0.0,0.0,0.0
3337,Western municipalities and their suburbs,City of Melton,Outer,"Kurunjang, Melton, Melton West",533666.6666666666,681,1374,102,132,469,7,2765,21502,15,1.0,1.0,1.0
3338,Western municipalities and their suburbs,City of Melton,Outer,"Brookfield, Eynesbury, Fraser Rise, Harkness, Melton South, Eynesbury",621000.0,502,916,55,68,241,3,1785,9939,10,0.0,0.0,1.0
3427,Western municipalities and their suburbs,City of Melton,Outer,"Diggers Rest, Diggers Rest",650500.0,61,132,6,12,31,0,242,5297,1,0.0,0.0,0.0
3429,Northern municipalities and their suburbs,City of Hume,Outer,Sunbury,670000.0,422,768,58,58,297,1,1604,13786,14,0.0,1.0,1.0
3750,Northern municipalities and their suburbs,City of Whittlesea,Outer,Wollert,710000.0,143,314,23,12,71,2,565,24762,4,0.0,0.0,0.0
3752,Northern municipalities and their suburbs,City of Whittlesea,Outer,South Morang,765000.0,144,361,32,40,121,1,699,12713,4,0.0,0.0,1.0
3754,Northern municipalities and their suburbs,City of Whittlesea,Outer,"Doreen, Doreen, Mernda",710750.0,295,612,52,52,296,2,1309,16477,10,0.0,1.0,0.0
3756,Northern municipalities and their suburbs,City of Whittlesea,Outer,Wallan,630000.0,200,317,25,31,147,5,725,22933,5,0.0,0.0,0.0
3757,Northern municipalities and their suburbs,City of Whittlesea,Outer,Whittlesea,740000.0,64,122,15,15,43,0,259,10747,5,0.0,1.0,0.0
3763,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Kinglake,770000.0,8,25,3,1,4,1,42,4235,1,0.0,0.0,0.0
3765,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Montrose,913500.0,35,59,5,6,23,1,129,6995,2,0.0,0.0,1.0
3767,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Mount Dandenong,1075000.0,8,19,2,1,2,0,32,9771,1,0.0,0.0,0.0
3777,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,"Badger Creek, Healesville, Healesville",762500.0,93,171,8,18,78,1,369,14181,7,1.0,0.0,1.0
3793,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Monbulk,799000.0,23,53,9,2,15,4,106,5857,4,0.0,1.0,1.0
3796,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Mount Evelyn,875000.0,67,104,6,6,40,0,223,9863,5,0.0,1.0,0.0
3802,Southeastern municipalities and their suburbs,City of Casey,Outer,Endeavour Hills,815000.0,211,444,27,28,124,0,834,12191,10,1.0,1.0,1.0
3803,Southeastern municipalities and their suburbs,City of Casey,Outer,Hallam,720000.0,163,431,26,25,72,0,717,11603,2,0.0,0.0,0.0
3804,Southeastern municipalities and their suburbs,City of Casey,Outer,Narre Warren North,1600000.0,49,125,10,8,24,1,217,8310,5,0.0,0.0,0.0
3805,Southeastern municipalities and their suburbs,City of Casey,Outer,"Narre Warren, Narre Warren South",773750.0,619,1455,115,96,349,1,2635,13620,13,0.0,1.0,1.0
3806,Southeastern municipalities and their suburbs,City of Casey,Outer,Berwick,885000.0,362,1088,54,50,178,1,1733,23187,13,1.0,0.0,1.0
3807,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Beaconsfield,940000.0,50,166,15,9,29,0,269,23947,2,0.0,0.0,1.0
3810,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Pakenham,652000.0,651,1631,122,117,492,6,3019,15615,11,0.0,1.0,1.0
3815,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Bunyip,750000.0,20,30,3,5,13,0,71,9939,2,0.0,1.0,0.0
3910,Southeastern municipalities and their suburbs,City of Frankston,Outer,Langwarrin,860000.0,145,328,35,20,112,0,640,25248,5,1.0,0.0,1.0
3912,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Pearcedale, Somerville, Pearcedale",813000.0,93,247,21,8,90,1,460,8082,5,0.0,1.0,1.0
3915,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Hastings, Hastings West",694500.0,175,540,33,44,193,3,988,24240,4,1.0,1.0,1.0
3930,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Mount Eliza,1725000.0,62,250,12,11,60,1,396,18923,7,0.0,0.0,1.0
3931,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Mornington,1133500.0,222,728,55,162,184,3,1354,15273,7,1.0,1.0,1.0
3934,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Mount Martha, Balcombe, Osborne",1620833.3333333333,36,230,6,12,45,2,331,20020,3,0.0,0.0,0.0
3936,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Dromana, Safety Beach",1175000.0,80,353,21,29,143,8,634,13460,3,0.0,1.0,1.0
3939,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Rosebud, Rosebud South, Cape Schanck, Fingal",1275625.0,200,462,43,53,188,2,948,23139,5,1.0,1.0,1.0
3975,Southeastern municipalities and their suburbs,City of Casey,Outer,"Lynbrook, Lyndhurst",881250.0,109,356,18,14,71,0,568,18270,3,0.0,0.0,1.0
3976,Southeastern municipalities and their suburbs,City of Casey,Outer,Hampton Park,665000.0,321,515,47,31,229,3,1146,12861,6,0.0,0.0,1.0
3977,Southeastern municipalities and their suburbs,City of Casey,Outer,"Botanic Ridge, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne West, Cranbourne South, Junction Village, Fiveways, Sandhurst, Skye",776900.0,1197,2603,181,161,762,1,4905,21580,25,1.0,1.0,1.0
3978,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,"Clyde, Clyde North",719000.0,317,927,28,31,197,0,1500,10642,10,0.0,0.0,0.0
3981,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Koo Wee Rup,700000.0,47,116,4,11,20,0,198,10148,4,0.0,0.0,0.0
