POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,prelim 2023,change 2021-22,change 2021-22,Growth PA,SUBURB_NAMES
3185,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,956000.0,1150000.0,1180000.0,1348000.0,1857500.0,1880000.0,1830000.0,1740000.0,1900000,2120000,2005000,3000000,-5,110,7.7,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
3185,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,1155000.0,1365000.0,1315000.0,1621000.0,1723500.0,2087500.0,1970000.0,1825000.0,2081000,2175000,2275000,2325000,5,97,7.0,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
3182,Inner City municipalities and their suburbs,City of Port Phillip,Inner,861000.0,892000.0,1225000.0,1164000.0,1305000.0,1551000.0,1755000.0,1600000.0,1330000,1680000,1635000,1116500,-3,90,6.6,"St Kilda, St Kilda West"
3182,Inner City municipalities and their suburbs,City of Port Phillip,Inner,1262500.0,1142500.0,2235000.0,2013000.0,1797000.0,2380000.0,1942500.0,2465000.0,2630000,3300000,2505000,4000000,-24,98,7.1,"St Kilda, St Kilda West"
3205,Inner City municipalities and their suburbs,City of Port Phillip,Inner,930000.0,1030000.0,1200000.0,1310000.0,1595000.0,1532500.0,1465000.0,1355000.0,1580000,1710000,1850000,2045000,8,99,7.1,South Melbourne
3067,Inner City municipalities and their suburbs,City of Yarra,Mid,714000.0,792500.0,862500.0,925000.0,1187500.0,1280000.0,1192500.0,1050000.0,1200000,1365000,1341500,1409000,-2,88,6.5,Abbotsford
3078,Inner City municipalities and their suburbs,City of Yarra,Mid,1000000.0,1080000.0,1029000.0,1296500.0,1272500.0,1560000.0,1612500.0,1455000.0,1865000,2280000,2195000,2185000,-4,120,8.2,"Alphington, Fairfield, Alphington, Fairfield"
3078,Northern municipalities and their suburbs,City of Darebin,Mid,1000000.0,1080000.0,1029000.0,1296500.0,1272500.0,1560000.0,1612500.0,1455000.0,1865000,2280000,2195000,2185000,-4,120,8.2,"Alphington, Fairfield, Alphington, Fairfield"
3078,Inner City municipalities and their suburbs,City of Yarra,Mid,825000.0,915000.0,945000.0,1111500.0,1303000.0,1496000.0,1316000.0,1295000.0,1395500,1700000,1800000,1304000,6,118,8.1,"Alphington, Fairfield, Alphington, Fairfield"
3078,Northern municipalities and their suburbs,City of Darebin,Mid,825000.0,915000.0,945000.0,1111500.0,1303000.0,1496000.0,1316000.0,1295000.0,1395500,1700000,1800000,1304000,6,118,8.1,"Alphington, Fairfield, Alphington, Fairfield"
3121,Inner City municipalities and their suburbs,City of Yarra,Mid,797500.0,836000.0,1100000.0,999000.0,1215000.0,1405000.0,1277500.0,1188500.0,1497500,1595000,1565000,1748000,-2,96,7.0,"Burnley, Cremorne, Richmond"
3121,Inner City municipalities and their suburbs,City of Yarra,Mid,701000.0,821000.0,886500.0,1030000.0,1072000.0,1230000.0,1420000.0,1290000.0,1405000,1500000,1312500,1680000,-13,87,6.5,"Burnley, Cremorne, Richmond"
3121,Inner City municipalities and their suburbs,City of Yarra,Mid,823000.0,900000.0,961000.0,1150000.0,1265000.0,1302500.0,1311000.0,1260000.0,1365000,1482500,1396500,1340000,-6,70,5.4,"Burnley, Cremorne, Richmond"
3068,Inner City municipalities and their suburbs,City of Yarra,Mid,801500.0,867000.0,965000.0,1085000.0,1220000.0,1390000.0,1364500.0,1348000.0,1375000,1750000,1720000,1603000,-2,115,7.9,"Clifton Hill, Fitzroy North"
3068,Inner City municipalities and their suburbs,City of Yarra,Mid,871000.0,976000.0,1014000.0,1188000.0,1279000.0,1450000.0,1475000.0,1385000.0,1600000,1706000,1620000,1600000,-5,86,6.4,"Clifton Hill, Fitzroy North"
3066,Inner City municipalities and their suburbs,City of Yarra,Mid,734000.0,741000.0,775000.0,914000.0,920000.0,1205000.0,1110000.0,1060000.0,1155000,1251500,1295500,1062500,4,77,5.8,Collingwood
3065,Inner City municipalities and their suburbs,City of Yarra,Mid,918500.0,945000.0,1130000.0,1297500.0,1600000.0,1625000.0,1450000.0,1400000.0,1400000,1520000,1502500,1715000,-1,64,5.0,Fitzroy
3088,Northern municipalities and their suburbs,City of Banyule,Mid,540000.0,572500.0,633000.0,680000.0,721500.0,833000.0,880000.0,823500.0,863000,1015000,979000,900000,-4,81,6.1,"Briar Hill, Greensborough, St Helena, Greensborough"
3088,Northern municipalities and their suburbs,City of Banyule,Mid,491000.0,534000.0,574000.0,635000.0,717000.0,830000.0,815000.0,798000.0,850000,1001000,996500,938500,0,103,7.3,"Briar Hill, Greensborough, St Helena, Greensborough"
3088,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,491000.0,534000.0,574000.0,635000.0,717000.0,830000.0,815000.0,798000.0,850000,1001000,996500,938500,0,103,7.3,"Briar Hill, Greensborough, St Helena, Greensborough"
3088,Northern municipalities and their suburbs,City of Banyule,Mid,550500.0,612500.0,623000.0,711000.0,800000.0,893500.0,910000.0,905000.0,930000,1137500,1202500,1134000,6,118,8.1,"Briar Hill, Greensborough, St Helena, Greensborough"
3083,Northern municipalities and their suburbs,City of Banyule,Mid,485000.0,530000.0,553500.0,600500.0,652000.0,753000.0,730000.0,735000.0,745000,865000,853000,850000,-1,76,5.8,"Bundoora, Bundoora, Kingsbury, Bundoora"
3083,Northern municipalities and their suburbs,City of Banyule,Mid,485000.0,530000.0,553500.0,600500.0,652000.0,753000.0,730000.0,735000.0,745000,865000,853000,850000,-1,76,5.8,"Bundoora, Bundoora, Kingsbury, Bundoora"
3083,Northern municipalities and their suburbs,City of Banyule,Mid,485000.0,530000.0,553500.0,600500.0,652000.0,753000.0,730000.0,735000.0,745000,865000,853000,850000,-1,76,5.8,"Bundoora, Bundoora, Kingsbury, Bundoora"
3083,Northern municipalities and their suburbs,City of Banyule,Mid,437500.0,470000.0,502500.0,560000.0,610000.0,731000.0,730000.0,660000.0,732500,850000,782000,774000,-8,79,6.0,"Bundoora, Bundoora, Kingsbury, Bundoora"
3084,Northern municipalities and their suburbs,City of Banyule,Mid,1343500.0,1340000.0,1522500.0,1730000.0,1895500.0,1963000.0,1955000.0,1863000.0,2029000,2432500,2425000,2290000,0,80,6.1,"Eaglemont, Heidelberg, Rosanna, Viewbank"
3084,Northern municipalities and their suburbs,City of Banyule,Mid,750000.0,772500.0,840500.0,1060000.0,1150000.0,1280000.0,1114000.0,1107500.0,1283000,1500000,1410000,1265000,-6,88,6.5,"Eaglemont, Heidelberg, Rosanna, Viewbank"
3084,Northern municipalities and their suburbs,City of Banyule,Mid,652500.0,717500.0,781500.0,905000.0,980000.0,1175000.0,1100000.0,1032500.0,1122500,1388000,1215000,1170000,-12,86,6.4,"Eaglemont, Heidelberg, Rosanna, Viewbank"
3084,Northern municipalities and their suburbs,City of Banyule,Mid,589000.0,630000.0,725000.0,829500.0,920000.0,1000000.0,933000.0,920000.0,985000,1238000,1220000,1083000,-1,107,7.6,"Eaglemont, Heidelberg, Rosanna, Viewbank"
3095,Northern municipalities and their suburbs,City of Banyule,Mid,590500.0,631500.0,670000.0,750000.0,820000.0,930000.0,942500.0,928000.0,995000,1234500,1261500,1040000,2,114,7.9,"Eltham, Eltham North, Eltham, Eltham North, Research"
3095,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,590500.0,631500.0,670000.0,750000.0,820000.0,930000.0,942500.0,928000.0,995000,1234500,1261500,1040000,2,114,7.9,"Eltham, Eltham North, Eltham, Eltham North, Research"
3095,Northern municipalities and their suburbs,City of Banyule,Mid,580500.0,622000.0,680000.0,758000.0,850500.0,900000.0,930500.0,930000.0,1050000,1237500,1237000,1046000,0,113,7.9,"Eltham, Eltham North, Eltham, Eltham North, Research"
3095,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,580500.0,622000.0,680000.0,758000.0,850500.0,900000.0,930500.0,930000.0,1050000,1237500,1237000,1046000,0,113,7.9,"Eltham, Eltham North, Eltham, Eltham North, Research"
3095,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,622500.0,605500.0,685000.0,686000.0,825500.0,950000.0,915000.0,937500.0,1178000,1201000,1395000,,16,124,8.4,"Eltham, Eltham North, Eltham, Eltham North, Research"
3081,Northern municipalities and their suburbs,City of Banyule,Mid,500000.0,536500.0,555000.0,676500.0,750000.0,843000.0,820000.0,790000.0,805000,1000000,1041000,835000,4,108,7.6,"Heidelberg Heights, Heidelberg West"
3081,Northern municipalities and their suburbs,City of Banyule,Mid,400000.0,425500.0,461000.0,580000.0,630000.0,730000.0,700000.0,670000.0,719500,812500,807000,815000,-1,102,7.3,"Heidelberg Heights, Heidelberg West"
3079,Northern municipalities and their suburbs,City of Banyule,Mid,907500.0,1100000.0,1206000.0,1125000.0,1400000.0,1547500.0,1600000.0,1590000.0,1630000,1900000,1970000,1302500,4,117,8.1,"Ivanhoe, Ivanhoe East"
3079,Northern municipalities and their suburbs,City of Banyule,Mid,1200000.0,1310000.0,1513000.0,1542500.0,1764500.0,1975000.0,1914000.0,1775000.0,2055000,2225000,2200000,4775000,-1,83,6.2,"Ivanhoe, Ivanhoe East"
3094,Northern municipalities and their suburbs,City of Banyule,Mid,561000.0,570000.0,614000.0,732000.0,780500.0,890000.0,926000.0,860000.0,913000,1162000,1110000,1173500,-4,98,7.1,Montmorency
3087,Northern municipalities and their suburbs,City of Banyule,Mid,462000.0,505000.0,555000.0,607500.0,698000.0,835000.0,795000.0,736000.0,790000,980000,908500,751000,-7,97,7.0,"Watsonia, Watsonia North"
3087,Northern municipalities and their suburbs,City of Banyule,Mid,462000.0,510000.0,572500.0,635000.0,702500.0,790000.0,770000.0,726500.0,795000,962500,897500,872000,-7,94,6.9,"Watsonia, Watsonia North"
3070,Northern municipalities and their suburbs,City of Darebin,Mid,786000.0,818000.0,935000.0,1008500.0,1190000.0,1325000.0,1345000.0,1307500.0,1413000,1655000,1656000,1690000,0,111,7.7,"Northcote, Westgarth"
3070,Northern municipalities and their suburbs,City of Darebin,Mid,840000.0,920000.0,1100000.0,1300000.0,1500000.0,1383000.0,1707500.0,1492500.0,1566000,2075000,1912500,1900000,-8,128,8.6,"Northcote, Westgarth"
3072,Northern municipalities and their suburbs,City of Darebin,Mid,580000.0,632500.0,690000.0,791000.0,882000.0,996000.0,980000.0,940000.0,1026000,1251000,1158000,1079000,-7,100,7.2,Preston
3073,Northern municipalities and their suburbs,City of Darebin,Mid,468500.0,510000.0,541000.0,615000.0,710000.0,812500.0,790000.0,754000.0,795000,945000,940000,815000,-1,101,7.2,Reservoir
3071,Northern municipalities and their suburbs,City of Darebin,Mid,715500.0,729000.0,840000.0,918000.0,1079500.0,1225000.0,1137500.0,1150000.0,1250000,1500000,1455000,1250000,-3,103,7.4,Thornbury
3047,Northern municipalities and their suburbs,City of Hume,Outer,320000.0,325000.0,345000.0,370000.0,416500.0,546000.0,575000.0,528000.0,552500,599500,603500,520000,1,89,6.5,"Broadmeadows, Dallas, Jacana"
3047,Northern municipalities and their suburbs,City of Hume,Outer,276500.0,280000.0,295000.0,321500.0,345000.0,430000.0,490000.0,451500.0,467500,526500,525000,495000,0,90,6.6,"Broadmeadows, Dallas, Jacana"
3047,Northern municipalities and their suburbs,City of Hume,Outer,310500.0,334000.0,342500.0,375000.0,423000.0,571500.0,555000.0,512500.0,555000,626000,642500,567500,3,107,7.5,"Broadmeadows, Dallas, Jacana"
3061,Northern municipalities and their suburbs,City of Hume,Outer,330000.0,330000.0,338000.0,374500.0,420000.0,507000.0,550000.0,533000.0,537500,602500,605000,593000,0,83,6.2,Campbellfield
3048,Northern municipalities and their suburbs,City of Hume,Outer,278000.0,290000.0,290000.0,302500.0,340000.0,451000.0,480000.0,441000.0,477000,500000,530000,500000,6,91,6.7,"Coolaroo, Meadow Heights"
3048,Northern municipalities and their suburbs,City of Hume,Outer,315000.0,317000.0,322500.0,350500.0,370000.0,451000.0,510000.0,474000.0,499000,557500,580000,535000,4,84,6.3,"Coolaroo, Meadow Heights"
3064,Northern municipalities and their suburbs,City of Hume,Outer,350000.0,360000.0,362000.0,390000.0,425000.0,502500.0,546500.0,525000.0,560000,620000,660000,646000,6,89,6.6,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
3064,Northern municipalities and their suburbs,City of Hume,Outer,355000.0,365000.0,385000.0,400000.0,435000.0,515000.0,546000.0,543000.0,572500,615000,652000,670000,6,84,6.3,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
3064,Northern municipalities and their suburbs,City of Hume,Outer,272500.0,450000.0,450000.0,180000.0,432500.0,529500.0,548000.0,538000.0,555000,611500,650000,645000,6,139,9.1,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
