POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,2022
3081,Northern municipalities and their suburbs,City of Banyule,Mid,"Heidelberg Heights, Heidelberg West",924000.0
3079,Northern municipalities and their suburbs,City of Banyule,Mid,"Ivanhoe, Ivanhoe East",2085000.0
3094,Northern municipalities and their suburbs,City of Banyule,Mid,Montmorency,1110000.0
3087,Northern municipalities and their suburbs,City of Banyule,Mid,"Watsonia, Watsonia North",903000.0
3070,Northern municipalities and their suburbs,City of Darebin,Mid,"Northcote, Westgarth",1784250.0
3072,Northern municipalities and their suburbs,City of Darebin,Mid,Preston,1158000.0
3073,Northern municipalities and their suburbs,City of Darebin,Mid,Reservoir,940000.0
3071,Northern municipalities and their suburbs,City of Darebin,Mid,Thornbury,1455000.0
3047,Northern municipalities and their suburbs,City of Hume,Outer,"Broadmeadows, Dallas, Jacana",590333.3333333334
3061,Northern municipalities and their suburbs,City of Hume,Outer,Campbellfield,605000.0
3048,Northern municipalities and their suburbs,City of Hume,Outer,"Coolaroo, Meadow Heights",555000.0
3064,Northern municipalities and their suburbs,City of Hume,Outer,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook",661400.0
3059,Northern municipalities and their suburbs,City of Hume,Outer,Greenvale,880000.0
3429,Northern municipalities and their suburbs,City of Hume,Outer,Sunbury,670000.0
3040,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Aberfeldie, Essendon, Essendon West",1650166.6666666667
3042,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Airport West, Niddrie, Keilor Park",1041333.3333333334
3032,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Ascot Vale, Travancore, Maribyrnong",1310000.0
3034,Northern municipalities and their suburbs,City of Moonee Valley,Mid,Avondale Heights,990000.0
3041,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Essendon North, Strathmore, Strathmore Heights",1355833.3333333333
3031,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Flemington, Kensington",1151750.0
3033,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Keilor East, Keilor East",992500.0
3039,Northern municipalities and their suburbs,City of Moonee Valley,Mid,Moonee Ponds,1550000.0
3056,Northern municipalities and their suburbs,City of Moreland,Mid,Brunswick,1325000.0
3057,Northern municipalities and their suburbs,City of Moreland,Mid,Brunswick East,1355000.0
3055,Northern municipalities and their suburbs,City of Moreland,Mid,Brunswick West,1285500.0
3058,Northern municipalities and their suburbs,City of Moreland,Mid,"Coburg, Coburg East, Coburg North",1095833.3333333333
3060,Northern municipalities and their suburbs,City of Moreland,Mid,Fawkner,770000.0
3043,Northern municipalities and their suburbs,City of Moreland,Mid,"Gladstone Park, Tullamarine, Gowanbrae, Tullamarine",796666.6666666666
3046,Northern municipalities and their suburbs,City of Moreland,Mid,"Glenroy, Hadfield, Oak Park",964333.3333333334
3044,Northern municipalities and their suburbs,City of Moreland,Mid,"Pascoe Vale, Pascoe Vale South, Coonans Hill",1150833.3333333333
3754,Northern municipalities and their suburbs,City of Whittlesea,Outer,"Doreen, Doreen, Mernda",710750.0
3076,Northern municipalities and their suburbs,City of Whittlesea,Outer,Epping,677000.0
3075,Northern municipalities and their suburbs,City of Whittlesea,Outer,Lalor,700000.0
3082,Northern municipalities and their suburbs,City of Whittlesea,Outer,Mill Park,786000.0
3752,Northern municipalities and their suburbs,City of Whittlesea,Outer,South Morang,765000.0
3074,Northern municipalities and their suburbs,City of Whittlesea,Outer,Thomastown,710000.0
3756,Northern municipalities and their suburbs,City of Whittlesea,Outer,Wallan,630000.0
3757,Northern municipalities and their suburbs,City of Whittlesea,Outer,Whittlesea,740000.0
3750,Northern municipalities and their suburbs,City of Whittlesea,Outer,Wollert,710000.0
3095,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,"Eltham, Eltham North, Eltham, Eltham North, Research",1297833.3333333333
3099,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Hurstbridge,950000.0
3763,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Kinglake,770000.0
3113,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Warrandyte,1300000.0
3096,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Wattle Glen,950000.0
3193,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Beaumaris, Black Rock",2313750.0
3186,Southeastern municipalities and their suburbs,City of Bayside,Mid,Brighton,3450000.0
3187,Southeastern municipalities and their suburbs,City of Bayside,Mid,Brighton East,2312500.0
3192,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Cheltenham, Cheltenham, Cheltenham East, Cheltenham North",1189000.0
3188,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Hampton, Hampton East",1974750.0
3190,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Highett, Highett",1465000.0
3191,Southeastern municipalities and their suburbs,City of Bayside,Mid,Sandringham,2384000.0
3806,Southeastern municipalities and their suburbs,City of Casey,Outer,Berwick,885000.0
3977,Southeastern municipalities and their suburbs,City of Casey,Outer,"Botanic Ridge, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne West, Cranbourne South, Junction Village, Fiveways, Sandhurst, Skye",776900.0
3177,Southeastern municipalities and their suburbs,City of Casey,Outer,"Doveton, Eumemmerring",687750.0
3802,Southeastern municipalities and their suburbs,City of Casey,Outer,Endeavour Hills,815000.0
3803,Southeastern municipalities and their suburbs,City of Casey,Outer,Hallam,720000.0
3976,Southeastern municipalities and their suburbs,City of Casey,Outer,Hampton Park,665000.0
3975,Southeastern municipalities and their suburbs,City of Casey,Outer,"Lynbrook, Lyndhurst",881250.0
3804,Southeastern municipalities and their suburbs,City of Casey,Outer,Narre Warren North,1600000.0
3805,Southeastern municipalities and their suburbs,City of Casey,Outer,"Narre Warren, Narre Warren South",773750.0
3201,Southeastern municipalities and their suburbs,City of Frankston,Outer,Carrum Downs,715000.0
3200,Southeastern municipalities and their suburbs,City of Frankston,Outer,Frankston North,610000.0
3199,Southeastern municipalities and their suburbs,City of Frankston,Outer,"Frankston, Frankston South",974750.0
3910,Southeastern municipalities and their suburbs,City of Frankston,Outer,Langwarrin,860000.0
3198,Southeastern municipalities and their suburbs,City of Frankston,Outer,Seaford,880000.0
3165,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,Bentleigh East,1500000.0
3204,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Bentleigh, McKinnon, Ormond",1858833.3333333333
3163,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Carnegie, Glen Huntly, Murrumbeena",1644500.0
3161,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,Caulfield North,2645000.0
3162,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Caulfield, Caulfield South",1962000.0
3185,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Ripponlea, Gardenvale, Elsternwick, Gardenvale",1936666.6666666667
3175,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,"Dandenong, Dandenong North",740000.0
3173,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Keysborough,911500.0
3174,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,"Noble Park, Noble Park North",775000.0
3171,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Springvale,885000.0
3195,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Aspendale, Aspendale Gardens, Mordialloc, Parkdale, Waterways",1380400.0
3196,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Bonbeach, Chelsea, Chelsea Heights, Edithvale",1154125.0
3197,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Carrum, Patterson Lakes, Patterson Gardens",1262500.0
3169,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Clarinda, Clayton South, Westall",991500.0
3194,Southeastern municipalities and their suburbs,City of Kingston,Mid,Mentone,1470000.0
3189,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Moorabbin, Moorabbin",1377500.0
3172,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Springvale South, Dingley Village",964750.0
3147,Southeastern municipalities and their suburbs,City of Monash,Mid,"Ashburton, Ashwood",1795000.0
3168,Southeastern municipalities and their suburbs,City of Monash,Mid,"Clayton, Clayton North, Notting Hill",1163833.3333333333
3150,Southeastern municipalities and their suburbs,City of Monash,Mid,"Glen Waverley, Syndal, Wheelers Hill",1622500.0
3166,Southeastern municipalities and their suburbs,City of Monash,Mid,"Hughesdale, Huntingdale, Oakleigh, Oakleigh East",1330875.0
3149,Southeastern municipalities and their suburbs,City of Monash,Mid,Mount Waverley,1506000.0
3170,Southeastern municipalities and their suburbs,City of Monash,Mid,Mulgrave,992000.0
3143,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Armadale,2714500.0
3146,Southeastern municipalities and their suburbs,City of Stonnington,Mid,"Glen Iris, Glen Iris",2500000.0
3144,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Malvern,3020000.0
3145,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Malvern East,2275000.0
3181,Southeastern municipalities and their suburbs,City of Stonnington,Mid,"Prahran, Windsor",1725000.0
3141,Southeastern municipalities and their suburbs,City of Stonnington,Mid,"South Yarra, South Yarra",1937500.0
3142,Southeastern municipalities and their suburbs,City of Stonnington,Mid,Toorak,6200000.0
3807,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Beaconsfield,940000.0
3815,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Bunyip,750000.0
3978,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,"Clyde, Clyde North",719000.0
3981,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Koo Wee Rup,700000.0
3810,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Pakenham,652000.0
3936,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Dromana, Safety Beach",1175000.0
3915,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Hastings, Hastings West",694500.0
