POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,POST_CODE,Education_Sector,School_Name,School_Type,Longitude,Latitude,SUBURB_NAMES
101,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3182,Government,St Kilda Primary School,Primary,144.98902,-37.87022,"St Kilda, St Kilda West"
102,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3182,Government,St Kilda Park Primary School,Primary,144.97779,-37.85812,"St Kilda, St Kilda West"
103,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3182,Independent,St Michael's Grammar School,Pri/Sec,144.99155,-37.85955,"St Kilda, St Kilda West"
104,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3182,Independent,Cheder Levi Yitzchok Inc,Pri/Sec,144.99191,-37.86057,"St Kilda, St Kilda West"
105,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3182,Government,St Kilda Primary School,Primary,144.98902,-37.87022,"St Kilda, St Kilda West"
106,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3182,Government,St Kilda Park Primary School,Primary,144.97779,-37.85812,"St Kilda, St Kilda West"
107,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3182,Independent,St Michael's Grammar School,Pri/Sec,144.99155,-37.85955,"St Kilda, St Kilda West"
108,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3182,Independent,Cheder Levi Yitzchok Inc,Pri/Sec,144.99191,-37.86057,"St Kilda, St Kilda West"
109,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3205,Government,Montague Continuing Education Centre,Special,144.94974,-37.8306,South Melbourne
110,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3205,Catholic,Galilee Regional Catholic Primary School,Primary,144.95481,-37.83616,South Melbourne
111,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3205,Independent,Youth2Industry College,Secondary,144.96665,37.83731,South Melbourne
112,Inner City municipalities and their suburbs,City of Yarra,Mid,3067,Government,Abbotsford Primary School,Primary,144.99881,-37.80898,Abbotsford
113,Inner City municipalities and their suburbs,City of Yarra,Mid,3067,Independent,Sophia Mundi Steiner School,Pri/Sec,145.00522,-37.80366,Abbotsford
114,Inner City municipalities and their suburbs,City of Yarra,Mid,3078,Government,Fairfield Primary School,Primary,145.0204,-37.77799,"Alphington, Fairfield, Alphington, Fairfield"
115,Inner City municipalities and their suburbs,City of Yarra,Mid,3078,Government,Alphington Primary School,Primary,145.03201,-37.78352,"Alphington, Fairfield, Alphington, Fairfield"
116,Inner City municipalities and their suburbs,City of Yarra,Mid,3078,Catholic,St Anthony's School,Primary,145.02036,-37.78007,"Alphington, Fairfield, Alphington, Fairfield"
117,Inner City municipalities and their suburbs,City of Yarra,Mid,3078,Independent,Alphington Grammar School,Pri/Sec,145.03617,-37.78043,"Alphington, Fairfield, Alphington, Fairfield"
118,Inner City municipalities and their suburbs,City of Yarra,Mid,3078,Government,Fairfield Primary School,Primary,145.0204,-37.77799,"Alphington, Fairfield, Alphington, Fairfield"
119,Inner City municipalities and their suburbs,City of Yarra,Mid,3078,Government,Alphington Primary School,Primary,145.03201,-37.78352,"Alphington, Fairfield, Alphington, Fairfield"
120,Inner City municipalities and their suburbs,City of Yarra,Mid,3078,Catholic,St Anthony's School,Primary,145.02036,-37.78007,"Alphington, Fairfield, Alphington, Fairfield"
121,Inner City municipalities and their suburbs,City of Yarra,Mid,3078,Independent,Alphington Grammar School,Pri/Sec,145.03617,-37.78043,"Alphington, Fairfield, Alphington, Fairfield"
122,Northern municipalities and their suburbs,City of Darebin,Mid,3078,Government,Fairfield Primary School,Primary,145.0204,-37.77799,"Alphington, Fairfield, Alphington, Fairfield"
123,Northern municipalities and their suburbs,City of Darebin,Mid,3078,Government,Alphington Primary School,Primary,145.03201,-37.78352,"Alphington, Fairfield, Alphington, Fairfield"
124,Northern municipalities and their suburbs,City of Darebin,Mid,3078,Catholic,St Anthony's School,Primary,145.02036,-37.78007,"Alphington, Fairfield, Alphington, Fairfield"
125,Northern municipalities and their suburbs,City of Darebin,Mid,3078,Independent,Alphington Grammar School,Pri/Sec,145.03617,-37.78043,"Alphington, Fairfield, Alphington, Fairfield"
126,Northern municipalities and their suburbs,City of Darebin,Mid,3078,Government,Fairfield Primary School,Primary,145.0204,-37.77799,"Alphington, Fairfield, Alphington, Fairfield"
127,Northern municipalities and their suburbs,City of Darebin,Mid,3078,Government,Alphington Primary School,Primary,145.03201,-37.78352,"Alphington, Fairfield, Alphington, Fairfield"
128,Northern municipalities and their suburbs,City of Darebin,Mid,3078,Catholic,St Anthony's School,Primary,145.02036,-37.78007,"Alphington, Fairfield, Alphington, Fairfield"
129,Northern municipalities and their suburbs,City of Darebin,Mid,3078,Independent,Alphington Grammar School,Pri/Sec,145.03617,-37.78043,"Alphington, Fairfield, Alphington, Fairfield"
130,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Richmond West Primary School,Primary,144.99574,-37.81363,"Burnley, Cremorne, Richmond"
131,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Richmond Primary School,Primary,144.99907,-37.82957,"Burnley, Cremorne, Richmond"
132,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Yarra Primary School,Primary,145.00748,-37.81464,"Burnley, Cremorne, Richmond"
133,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Lynall Hall Community School,Secondary,145.00226,-37.81648,"Burnley, Cremorne, Richmond"
134,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Richmond High School,Secondary,145.0028,-37.81741,"Burnley, Cremorne, Richmond"
135,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Melbourne Girls College,Secondary,145.01433,-37.82251,"Burnley, Cremorne, Richmond"
136,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Catholic,Trinity Catholic School,Primary,145.00824,-37.81585,"Burnley, Cremorne, Richmond"
137,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Independent,Melbourne Indigenous Transition School,Special,144.98926,-37.81954,"Burnley, Cremorne, Richmond"
138,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Catholic,Ignatius Learning Centre,Secondary,144.99848,-37.82191,"Burnley, Cremorne, Richmond"
139,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Richmond West Primary School,Primary,144.99574,-37.81363,"Burnley, Cremorne, Richmond"
140,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Richmond Primary School,Primary,144.99907,-37.82957,"Burnley, Cremorne, Richmond"
141,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Yarra Primary School,Primary,145.00748,-37.81464,"Burnley, Cremorne, Richmond"
142,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Lynall Hall Community School,Secondary,145.00226,-37.81648,"Burnley, Cremorne, Richmond"
143,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Richmond High School,Secondary,145.0028,-37.81741,"Burnley, Cremorne, Richmond"
144,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Melbourne Girls College,Secondary,145.01433,-37.82251,"Burnley, Cremorne, Richmond"
145,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Catholic,Trinity Catholic School,Primary,145.00824,-37.81585,"Burnley, Cremorne, Richmond"
146,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Independent,Melbourne Indigenous Transition School,Special,144.98926,-37.81954,"Burnley, Cremorne, Richmond"
147,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Catholic,Ignatius Learning Centre,Secondary,144.99848,-37.82191,"Burnley, Cremorne, Richmond"
148,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Richmond West Primary School,Primary,144.99574,-37.81363,"Burnley, Cremorne, Richmond"
149,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Richmond Primary School,Primary,144.99907,-37.82957,"Burnley, Cremorne, Richmond"
150,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Yarra Primary School,Primary,145.00748,-37.81464,"Burnley, Cremorne, Richmond"
151,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Lynall Hall Community School,Secondary,145.00226,-37.81648,"Burnley, Cremorne, Richmond"
152,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Richmond High School,Secondary,145.0028,-37.81741,"Burnley, Cremorne, Richmond"
153,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Government,Melbourne Girls College,Secondary,145.01433,-37.82251,"Burnley, Cremorne, Richmond"
154,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Catholic,Trinity Catholic School,Primary,145.00824,-37.81585,"Burnley, Cremorne, Richmond"
155,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Independent,Melbourne Indigenous Transition School,Special,144.98926,-37.81954,"Burnley, Cremorne, Richmond"
156,Inner City municipalities and their suburbs,City of Yarra,Mid,3121,Catholic,Ignatius Learning Centre,Secondary,144.99848,-37.82191,"Burnley, Cremorne, Richmond"
157,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Government,Clifton Hill Primary School,Primary,144.98925,-37.79231,"Clifton Hill, Fitzroy North"
158,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Government,Fitzroy North Primary School,Primary,144.98415,-37.78502,"Clifton Hill, Fitzroy North"
159,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Government,Merri Creek Primary School,Primary,144.98739,-37.77697,"Clifton Hill, Fitzroy North"
160,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Government,Spensley Street Primary School,Primary,145.00388,-37.78679,"Clifton Hill, Fitzroy North"
161,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Government,Fitzroy High School,Secondary,144.98748,-37.78491,"Clifton Hill, Fitzroy North"
162,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Catholic,St John's School,Primary,144.98822,-37.79034,"Clifton Hill, Fitzroy North"
163,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Independent,Fitzroy Community School,Primary,144.97981,-37.78917,"Clifton Hill, Fitzroy North"
164,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Independent,Deutsche Schule Melbourne,Primary,144.98277,-37.77883,"Clifton Hill, Fitzroy North"
165,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Government,Clifton Hill Primary School,Primary,144.98925,-37.79231,"Clifton Hill, Fitzroy North"
166,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Government,Fitzroy North Primary School,Primary,144.98415,-37.78502,"Clifton Hill, Fitzroy North"
167,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Government,Merri Creek Primary School,Primary,144.98739,-37.77697,"Clifton Hill, Fitzroy North"
168,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Government,Spensley Street Primary School,Primary,145.00388,-37.78679,"Clifton Hill, Fitzroy North"
169,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Government,Fitzroy High School,Secondary,144.98748,-37.78491,"Clifton Hill, Fitzroy North"
170,Inner City municipalities and their suburbs,City of Yarra,Mid,3068,Catholic,St John's School,Primary,144.98822,-37.79034,"Clifton Hill, Fitzroy North"
